GEO.id,GEO.id2,GEO.display-label,YEAR.id,GOVTAX.id,GOVTAX.display-label,AMOUNT
Geographic identifier code,Id2,Geographic area name,Year,Tax Type,Meaning of Tax Type,"Amount ($1,000)"
0100000US,,United States,2016,01121,Total Taxes,930263745
0100000US,,United States,2016,011211,Property Taxes,18364298
0100000US,,United States,2016,011212,Sales and Gross Receipts Taxes,442909995
0100000US,,United States,2016,0112121,General Sales and Gross Receipts Taxes,292815900
0100000US,,United States,2016,0112122,Selective Sales and Gross Receipts Taxes,150094095
0100000US,,United States,2016,01121221,Alcoholic Beverages Sales Tax,6620096
0100000US,,United States,2016,01121222,Amusements Sales Tax,7597086
0100000US,,United States,2016,01121223,Insurance Premiums Sales Tax,20495224
0100000US,,United States,2016,01121224,Motor Fuels Sales Tax,43757220
0100000US,,United States,2016,01121225,Pari-mutuels Sales Tax,124090
0100000US,,United States,2016,01121226,Public Utilities Sales Tax,13256078
0100000US,,United States,2016,01121227,Tobacco Products Sales Tax,18011700
0100000US,,United States,2016,01121229,Other Selective Sales and Gross Receipts Taxes,40232601
0100000US,,United States,2016,0112123,License Taxes,52164396
0100000US,,United States,2016,01121231,Alcoholic Beverages License,637264
0100000US,,United States,2016,01121232,Amusements License,543093
0100000US,,United States,2016,01121233,Corporations in General License,5615067
0100000US,,United States,2016,01121234,Hunting and Fishing License,1595489
0100000US,,United States,2016,01121235,Motor Vehicle License,25603133
0100000US,,United States,2016,01121236,Motor Vehicle Operators License,2597873
0100000US,,United States,2016,01121237,Public Utilities License,1250122
0100000US,,United States,2016,01121238,"Occupation and Business License, NEC",12961870
0100000US,,United States,2016,01121239,Other License Taxes,1360485
0100000US,,United States,2016,0112124,Income Taxes,392286910
0100000US,,United States,2016,01121241,Individual Income Taxes,345528601
0100000US,,United States,2016,01121242,Corporations Net Income Taxes,46758309
0100000US,,United States,2016,0112125,Other Taxes,24538146
0100000US,,United States,2016,0112126,Death and Gift Taxes,5133305
0100000US,,United States,2016,0112127,Documentarty and Stock Transfer Taxes,9131636
0100000US,,United States,2016,0112128,Severance Taxes,7649594
0100000US,,United States,2016,0112129,"Taxes, NEC",2623611
0400000US01,01,Alabama,2016,01121,Total Taxes,9919794
0400000US01,01,Alabama,2016,011211,Property Taxes,346277
0400000US01,01,Alabama,2016,011212,Sales and Gross Receipts Taxes,5106102
0400000US01,01,Alabama,2016,0112121,General Sales and Gross Receipts Taxes,2596223
0400000US01,01,Alabama,2016,0112122,Selective Sales and Gross Receipts Taxes,2509879
0400000US01,01,Alabama,2016,01121221,Alcoholic Beverages Sales Tax,210535
0400000US01,01,Alabama,2016,01121222,Amusements Sales Tax,6
0400000US01,01,Alabama,2016,01121223,Insurance Premiums Sales Tax,317657
0400000US01,01,Alabama,2016,01121224,Motor Fuels Sales Tax,526763
0400000US01,01,Alabama,2016,01121225,Pari-mutuels Sales Tax,1401
0400000US01,01,Alabama,2016,01121226,Public Utilities Sales Tax,695626
0400000US01,01,Alabama,2016,01121227,Tobacco Products Sales Tax,180301
0400000US01,01,Alabama,2016,01121229,Other Selective Sales and Gross Receipts Taxes,577590
0400000US01,01,Alabama,2016,0112123,License Taxes,507479
0400000US01,01,Alabama,2016,01121231,Alcoholic Beverages License,4224
0400000US01,01,Alabama,2016,01121232,Amusements License,X
0400000US01,01,Alabama,2016,01121233,Corporations in General License,162117
0400000US01,01,Alabama,2016,01121234,Hunting and Fishing License,22931
0400000US01,01,Alabama,2016,01121235,Motor Vehicle License,213550
0400000US01,01,Alabama,2016,01121236,Motor Vehicle Operators License,33964
0400000US01,01,Alabama,2016,01121237,Public Utilities License,14443
0400000US01,01,Alabama,2016,01121238,"Occupation and Business License, NEC",56250
0400000US01,01,Alabama,2016,01121239,Other License Taxes,0
0400000US01,01,Alabama,2016,0112124,Income Taxes,3869584
